model,auc,accuracy,precision,recall,f1
CNN,0.7953232920320186,0.9696085582300025,0.6363636363636364,0.314878892733564,0.4212962962962963
RNN,0.7893916321132727,0.9694869924629225,0.6610169491525424,0.2698961937716263,0.38329238329238335
CNNRNN,0.6873379594409783,0.9640165329443229,0.47058823529411764,0.19377162629757785,0.2745098039215686
