model,auc,accuracy,precision,recall,f1
CNN,0.862362758014932,0.7887788778877888,0.7720588235294118,0.7608695652173914,0.7664233576642335
RNN,0.869828722002635,0.8052805280528053,0.7762237762237763,0.8043478260869565,0.7900355871886121
CNNRNN,0.8322353974527888,0.7920792079207921,0.8048780487804879,0.717391304347826,0.7586206896551724
