model,auc,accuracy,precision,recall,f1
CNN,0.9681490384615385,0.9313725490196079,0.9465408805031447,0.9647435897435898,0.9555555555555556
RNN,0.9209568643162392,0.8774509803921569,0.9225806451612903,0.9166666666666666,0.9196141479099678
CNNRNN,0.9449118589743589,0.9019607843137255,0.9387096774193548,0.9326923076923077,0.9356913183279743
