model,mse,mae,rmse,mape,r2,pearson_r
CNN,0.4353905,0.46238613,0.6598413,36.54562830924988,0.9078890159726143,0.9542220031530122
RNN,1.0054698,0.7171539,1.0027312,45.290547609329224,0.7872833460569382,0.892896611947629
CNNRNN,0.5438502,0.5263825,0.737462,45.52329182624817,0.8849433436989784,0.9422253940172034
