model,mse,mae,rmse,mape,r2,pearson_r
CNN,0.44670978,0.4986969,0.6683635,91.71871542930603,0.6976531445980072,0.8358711255967034
RNN,0.68967736,0.62591493,0.8304682,94.57446336746216,0.5332052409648895,0.7339128638833382
CNNRNN,0.801837,0.68168545,0.8954535,106.71250820159912,0.4572921395301819,0.6830415782617801
