model,mse,rmse,mae,r2,mape
MLP,1.0092498,1.0046142,0.69351584,0.786483645439148,44.029513001441956
CNN,0.7011699,0.8373589,0.6281813,0.8516608625650406,47.077059745788574
RNN,0.39591277,0.629216,0.46366927,0.9162409007549286,31.71236217021942
