dataset,model,test_loss,auc,accuracy,f1,precision,recall,mse,rmse,mae,r2
bace,CheMixNet_cnn,1.1218320667743682,0.8074220465524813,0.735973597359736,0.7344434706397897,0.7341002536960896,0.7350461133069829,,,,
BBBP,CheMixNet_cnn,0.349298768891738,0.9445446047008547,0.9068627450980392,0.8623579545454547,0.8900914634146342,0.8417467948717949,,,,
esol,CheMixNet_cnn,0.5120314550586045,,,,,,0.5793232917785645,0.7611328959465027,0.5757846236228943,0.8774386718869209
HIV,CheMixNet_cnn,0.22406042200628698,0.7235199514515913,0.9668125455871627,0.6577507849854006,0.7697014557118185,0.6143712619229372,,,,
lipophilicity,CheMixNet_cnn,0.8916987622225726,,,,,,0.8312234282493591,0.9117145538330078,0.7015547752380371,0.43740254640579224
