model,mse,rmse,mae,r2,mape
MLP,0.6827964,0.826315,0.62504315,0.5378624796867371,96.02971076965332
CNN,0.5582558,0.74716514,0.57695526,0.6221553683280945,86.11245155334473
RNN,0.5782864,0.76045144,0.5589722,0.6085980534553528,81.61653280258179
